Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ReserveFlights,Chrome 78.0.3904.87,,,2019-11-11 17:28:22,2019-11-11 17:31:36,3m - 14.133s,PASSED
,,,,,,,
Test Cases/SET_UP_BROWSER/launch_browser,Chrome 78.0.3904.87,,,2019-11-11 17:28:23,2019-11-11 17:28:44,20.473s,PASSED
"openBrowser(BASE_URL, STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:28:24,2019-11-11 17:28:39,15.359s,PASSED
maximizeWindow(),Chrome 78.0.3904.87,,,2019-11-11 17:28:39,2019-11-11 17:28:44,4.429s,PASSED
,,,,,,,
Test Cases/REGISTER/access_register,Chrome 78.0.3904.87,,,2019-11-11 17:28:44,2019-11-11 17:28:48,3.843s,PASSED
"verifyElementClickable(findTestObject(""MENU/TopMenu/option_register""), STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:28:44,2019-11-11 17:28:45,0.820s,PASSED
"click(findTestObject(""MENU/TopMenu/option_register""))",Chrome 78.0.3904.87,,,2019-11-11 17:28:45,2019-11-11 17:28:47,1.660s,PASSED
"waitForElementVisible(findTestObject(""REGISTER/UserInformation/button_submit""), 5)",Chrome 78.0.3904.87,,,2019-11-11 17:28:47,2019-11-11 17:28:48,0.982s,PASSED
,,,,,,,
Test Cases/REGISTER/create_register,Chrome 78.0.3904.87,,,2019-11-11 17:28:48,2019-11-11 17:29:07,19.187s,PASSED
"callTestCase(findTestCase(""REGISTER/fill_contact_information""), [:], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:28:48,2019-11-11 17:28:54,6.405s,PASSED
"callTestCase(findTestCase(""REGISTER/fill_mailing_information""), [:], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:28:54,2019-11-11 17:28:59,4.174s,PASSED
"callTestCase(findTestCase(""REGISTER/fill_user_information""), [:], STOP_ON_FAILURE)",Chrome 78.0.3904.87,,,2019-11-11 17:28:59,2019-11-11 17:29:01,2.867s,PASSED
"click(findTestObject(""REGISTER/UserInformation/button_submit""))",Chrome 78.0.3904.87,,,2019-11-11 17:29:01,2019-11-11 17:29:04,2.323s,PASSED
